===== Simulator configuration =====
BLOCKSIZE:  16
L1_SIZE:    1024
L1_ASSOC:   1
L2_SIZE:    0
L2_ASSOC:   0
PREF_N:     1
PREF_M:     4
trace_file: traces/gcc_trace.txt
SB: 7b034cf  7b034d0  7b034d1  7b034d2  
SB: 7b034d2  7b034d3  7b034d4  7b034d5  
SB: 7b034d6  7b034d7  7b034d8  7b034d9  
SB: 40139de  40139df  40139e0  40139e1  
SB: 7b034d0  7b034d1  7b034d2  7b034d3  
SB: 7b034d3  7b034d4  7b034d5  7b034d6  
SB: 400015b  400015c  400015d  400015e  
SB: 7b034dd  7b034de  7b034df  7b034e0  
SB: df83c  df83d  df83e  df83f  
SB: 40139a6  40139a7  40139a8  40139a9  
SB: 423aec8  423aec9  423aeca  423aecb  
SB: 7b0344b  7b0344c  7b0344d  7b0344e  
SB: 7b0344f  7b03450  7b03451  7b03452  
SB: 7b0344c  7b0344d  7b0344e  7b0344f  
SB: 7b0344f  7b03450  7b03451  7b03452  
SB: 7b03450  7b03451  7b03452  7b03453  
SB: 7b0344d  7b0344e  7b0344f  7b03450  
SB: 7b03450  7b03451  7b03452  7b03453  
SB: 7b03451  7b03452  7b03453  7b03454  
SB: 7b03452  7b03453  7b03454  7b03455  
SB: 40023c9  40023ca  40023cb  40023cc  
SB: 7b034c2  7b034c3  7b034c4  7b034c5  
SB: 40022e6  40022e7  40022e8  40022e9  
SB: 40022cc  40022cd  40022ce  40022cf  
SB: 40022df  40022e0  40022e1  40022e2  
SB: 423aec9  423aeca  423aecb  423aecc  
SB: 423aec7  423aec8  423aec9  423aeca  
SB: 423aec8  423aec9  423aeca  423aecb  
SB: 423aec6  423aec7  423aec8  423aec9  
SB: 423aec7  423aec8  423aec9  423aeca  
SB: 423aec8  423aec9  423aeca  423aecb  
SB: 4214c8b  4214c8c  4214c8d  4214c8e  
SB: dfd07  dfd08  dfd09  dfd0a  
SB: 7b034de  7b034df  7b034e0  7b034e1  
SB: df7d1  df7d2  df7d3  df7d4  
SB: 4000270  4000271  4000272  4000273  
SB: 40139de  40139df  40139e0  40139e1  
SB: 423aec7  423aec8  423aec9  423aeca  
SB: 423aec8  423aec9  423aeca  423aecb  
SB: 4013895  4013896  4013897  4013898  
SB: df8e2  df8e3  df8e4  df8e5  
SB: 7b034c6  7b034c7  7b034c8  7b034c9  
SB: 7b034c7  7b034c8  7b034c9  7b034ca  
SB: dfa2c  dfa2d  dfa2e  dfa2f  
SB: 7b034db  7b034dc  7b034dd  7b034de  
SB: 7b034dd  7b034de  7b034df  7b034e0  
SB: df8e3  df8e4  df8e5  df8e6  
SB: dfa2d  dfa2e  dfa2f  dfa30  
SB: 7b034c8  7b034c9  7b034ca  7b034cb  
SB: 7b034dc  7b034dd  7b034de  7b034df  
SB: df864  df865  df866  df867  
SB: df865  df866  df867  df868  
SB: 42351e4  42351e5  42351e6  42351e7  
SB: 7b034d8  7b034d9  7b034da  7b034db  
SB: 423aec6  423aec7  423aec8  423aec9  
SB: df866  df867  df868  df869  
SB: df867  df868  df869  df86a  
SB: 7b034c9  7b034ca  7b034cb  7b034cc  
SB: df864  df865  df866  df867  
SB: 42351e4  42351e5  42351e6  42351e7  
SB: 7b0345f  7b03460  7b03461  7b03462  
SB: 4013643  4013644  4013645  4013646  
SB: 7b034a7  7b034a8  7b034a9  7b034aa  
SB: 7b034d7  7b034d8  7b034d9  7b034da  
SB: 7b034de  7b034df  7b034e0  7b034e1  
SB: 7b034df  7b034e0  7b034e1  7b034e2  
